ID,Date,zn,sb,tax,marza
164,43260,3600.32,5262.52,674.14,988.06
165,43261,3390.38,5130.45,726.15,1013.92
166,43262,2471.04,3539.22,433.73,634.45
167,43263,2602.16,3711.85,470.8,638.89
168,43264,2053.7,2965.53,358.07,553.76
169,43265,2130.8,3119.54,382.58,606.16
170,43266,2771.93,4103.49,523.66,807.9
171,43267,2945.48,4229.39,512.19,771.72
172,43268,2095.73,3160.66,441.86,623.07
173,43269,2272.01,3341.68,403.27,666.4
174,43270,2458.85,3623.95,486.51,678.59
175,43271,2385.43,3526,456.41,684.16
176,43272,2363.67,3451.19,435.07,652.45
177,43273,2325.17,3381.43,434.98,621.28
178,43274,2858.51,4217.88,518.44,840.93
179,43275,1514.97,2174.69,300.67,359.05
180,43276,1967.53,2854.01,354.29,532.19
181,43277,2086.99,2974.26,380.03,507.24
182,43278,1922.46,2815.55,370.95,522.14
183,43279,2209.21,3193.45,399.98,584.26
184,43280,2515.12,3643.1,487.49,640.49
185,43281,2621.42,3828.72,451.25,756.05
186,43282,1746.11,2535.69,357.06,432.52
187,43283,2060.12,2987.92,376.25,551.55
188,43284,2428.49,3521.41,448.23,644.69
189,43285,2272.81,3361.07,420.52,667.74
190,43286,2421.16,3551.39,447.86,682.37
191,43287,3551.66,5121.74,697.61,872.47
192,43288,2675.52,3839,447.68,715.8
193,43289,2734.41,4074.55,573.91,766.23
194,43290,2502.09,3692.62,461.95,728.58
195,43291,2503.71,3646.83,459.97,683.15
196,43292,2357.85,3398.34,429.69,610.8
197,43293,2242.68,3258.18,404.2,611.3
198,43294,2671.04,3901.68,482.14,748.5
199,43295,3198.92,4610.27,590.5,820.85
200,43296,2740.3,4137.27,588.76,808.21
201,43297,2814.59,4091.96,503.82,773.55
202,43298,2150.78,3097.02,385.54,560.7
203,43299,2352.53,3371.1,433.27,585.3
204,43300,2393.89,3534.77,435.04,705.84
205,43301,2468.72,3608.69,461.55,678.42
206,43302,3393.01,4969.58,633.47,943.1
207,43303,2652.09,3993.64,577.67,763.88
208,43304,2299.31,3373.93,422.77,651.85
209,43305,2471.11,3634.7,472.73,690.86
210,43306,2392.87,3516.46,449.94,673.65
211,43307,2599.44,3796.7,458.7,738.56
212,43308,2926.5,4259.75,563.05,770.2
213,43309,3158.79,4553.56,574.81,819.96
214,43310,1644.33,2424.9,352.73,427.84
215,43311,2714.87,3960.67,478.05,767.75
216,43312,2520.67,3660.78,455.72,684.39
217,43313,2791.15,4042.06,507.16,743.75
218,43314,2511.73,3655.72,456.17,687.82
219,43315,2720.45,3976.89,501.03,755.41
220,43316,3094.15,4487.57,566.45,826.97
221,43317,1769.36,2637.52,395.58,472.58
222,43318,2301.58,3353.16,413.72,637.86
223,43319,2496.23,3638.66,483.87,658.56
224,43320,2897.4,4215.63,528.47,789.76
225,43321,2973.99,4367.1,588.44,804.67
226,43322,2778.86,4022.66,513.12,730.68
227,43323,3322.23,4790.46,594.95,873.28
228,43324,2548.74,3743.66,533.15,661.77
229,43325,2741.25,3988.93,507.57,740.11
230,43326,3299.23,4720.66,567.7,853.73
231,43327,2401.6,3646.59,554.79,690.2
232,43328,2564.79,3761.71,487.72,709.2
233,43329,2967.91,4335.47,542.19,825.37
234,43330,3470.14,4987.51,637.03,880.34
235,43331,1526.14,2276.82,309.24,441.44
236,43332,2622.75,3826.15,486.64,716.76
237,43333,2500.06,3581.79,470.29,611.44
238,43334,2591.52,3669.52,483.03,594.97
239,43335,2554.52,3693.3,461.29,677.49
240,43336,2796.88,4093.35,515.51,780.96
